,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
4425,kenapa bayar lewat link aja di hapus padahal admin nya paling murah,Feature Design,Fitur Payment,"['bayar', 'link', 'hapus', 'admin', 'nya', 'murah']","['bayar', 'link', 'hapus', 'admin', 'nya', 'murah']"
4426,saya mau adu keluh malah log out terus udh di coba kali kali,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['adu', 'keluh', 'log', 'out', 'coba', 'kali', 'kali']","['adu', 'keluh', 'log', 'out', 'coba', 'kali', 'kali']"
4427,tolong pak saya beli kios ada mslh dgn listrik prabayarnya meter kwh errorsaya tlpon minta solusi trus di ganti meter sudah di ganti meter nyata ga bs di isi tokensaya di suruh ke kantor pln tyt ada tunggak yg harus di bayar lalu saya byr semua tunggak lalu apk tokped nyata ga bs di isi token jg pdhl di kantor tugas pln bilang klo sudah di byr otomatis bs di isi token cek mau apk dr pln tghn yg sudah saya byr masih terhutangapk pln ga update,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['tolong', 'beli', 'kios', 'mslh', 'listrik', 'prabayarnya', 'meter', 'kwh', 'errorsaya', 'tlpon', 'solusi', 'trus', 'ganti', 'meter', 'ganti', 'meter', 'nyata', 'ga', 'bs', 'isi', 'tokensaya', 'suruh', 'kantor', 'pln', 'tyt', 'tunggak', 'bayar', 'byr', 'tunggak', 'apk', 'tokped', 'nyata', 'ga', 'bs', 'isi', 'token', 'pdhl', 'kantor', 'tugas', 'pln', 'byr', 'otomatis', 'bs', 'isi', 'token', 'cek', 'apk', 'dr', 'pln', 'tghn', 'byr', 'terhutangapk', 'pln', 'ga', 'update']","['tolong', 'beli', 'kios', 'mslh', 'listrik', 'prabayarnya', 'meter', 'kwh', 'errorsaya', 'tlpon', 'solusi', 'trus', 'ganti', 'meter', 'ganti', 'meter', 'nyata', 'ga', 'bs', 'isi', 'tokensaya', 'suruh', 'kantor', 'pln', 'tyt', 'tunggak', 'bayar', 'byr', 'tunggak', 'apk', 'tokped', 'nyata', 'ga', 'bs', 'isi', 'token', 'pdhl', 'kantor', 'tugas', 'pln', 'byr', 'otomatis', 'bs', 'isi', 'token', 'cek', 'apk', 'dr', 'pln', 'tghn', 'byr', 'terhutangapk', 'pln', 'ga', 'update']"
4428,bantu,Umum,Lain-lain,['bantu'],['bantu']
4429,kurang puas dgn layan tugas pln maslaah belumm seslaai malah di stattus saya di selesai ane benar ini itu tugas pecat aja rugi orang saja,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['puas', 'layan', 'tugas', 'pln', 'maslaah', 'belumm', 'seslaai', 'stattus', 'selesai', 'ane', 'tugas', 'pecat', 'rugi', 'orang']","['puas', 'layan', 'tugas', 'pln', 'maslaah', 'belumm', 'seslaai', 'stattus', 'selesai', 'ane', 'tugas', 'pecat', 'rugi', 'orang']"
4430,mohon aplikasi ini kembang jika org laku mohon pasang baru gps maps ny dipln mobile kalo bisa sdh pake satelite dan aplikasi ini juga jangan banyak ganggu,Feature Design,Saran fitur baru,"['mohon', 'aplikasi', 'kembang', 'org', 'laku', 'mohon', 'pasang', 'gps', 'maps', 'ny', 'dipln', 'mobile', 'pake', 'satelite', 'aplikasi', 'ganggu']","['mohon', 'aplikasi', 'kembang', 'org', 'laku', 'mohon', 'pasang', 'gps', 'maps', 'ny', 'dipln', 'mobile', 'pake', 'satelite', 'aplikasi', 'ganggu']"
4431,sharus nya dengan ada apk ini bisa buat plnggan bisa jadi praktis tetapi plnggan pln tidak tahu apk pln mobile ini saya mohon sosialisasi kepada masyarakat,Umum,Lain-lain,"['sharus', 'nya', 'apk', 'plnggan', 'praktis', 'plnggan', 'pln', 'apk', 'pln', 'mobile', 'mohon', 'sosialisasi', 'masyarakat']","['sharus', 'nya', 'apk', 'plnggan', 'praktis', 'plnggan', 'pln', 'apk', 'pln', 'mobile', 'mohon', 'sosialisasi', 'masyarakat']"
4432,kok masih belum bisa bayar dari link ajateruspemayaran dari linkaja yang lebih murahmalah bayar di hapusmaksudnya gimana yakita suruh pake bayar yang lebih mahal gitu,Feature Design,Fitur Payment,"['bayar', 'link', 'ajateruspemayaran', 'linkaja', 'murahmalah', 'bayar', 'hapusmaksudnya', 'gimana', 'yakita', 'suruh', 'pake', 'bayar', 'mahal', 'gitu']","['bayar', 'link', 'ajateruspemayaran', 'linkaja', 'murahmalah', 'bayar', 'hapusmaksudnya', 'gimana', 'yakita', 'suruh', 'pake', 'bayar', 'mahal', 'gitu']"
4433,bad service,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['bad', 'service']","['bad', 'service']"
4434,ini kenapa saya tidak bisa laku adu listrik padam untuk apa ada aplikasi kalo gak bisa di guna untuk adu,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['laku', 'adu', 'listrik', 'padam', 'aplikasi', 'gak', 'adu']","['laku', 'adu', 'listrik', 'padam', 'aplikasi', 'gak', 'adu']"
4435,turut saya pln memang oke cepat tangan masala dan sekarang masih dalam baik,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['pln', 'oke', 'cepat', 'tangan', 'masala']","['pln', 'oke', 'cepat', 'tangan', 'masala']"
4436,slow respon sudah dua kali adu blm ada tanggap sudah malam lampu mati,Service O2O,Laporan pengaduan tidak di respon,"['slow', 'respon', 'kali', 'adu', 'blm', 'tanggap', 'malam', 'lampu', 'mati']","['slow', 'respon', 'kali', 'adu', 'blm', 'tanggap', 'malam', 'lampu', 'mati']"
4437,mbuh,Umum,Lain-lain,['mbuh'],['mbuh']
4438,bobrokkkkkkk layan nyaa ribett dan nggk jelass ampunnn udah tlp call center  udah di isi aju udah nunggu jam tugas dateng di aplikasi heeee tau tau nya udah selesai padahal rumah beelummm bobrokkk ngggk jeelaasss,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['bobrokkkkkkk', 'layan', 'nyaa', 'ribett', 'nggk', 'jelass', 'ampunnn', 'udah', 'tlp', 'call', 'center', 'udah', 'isi', 'aju', 'udah', 'nunggu', 'jam', 'tugas', 'dateng', 'aplikasi', 'heeee', 'nya', 'udah', 'selesai', 'rumah', 'beelummm', 'bobrokkk', 'ngggk', 'jeelaasss']","['bobrokkkkkkk', 'layan', 'nyaa', 'ribett', 'nggk', 'jelass', 'ampunnn', 'udah', 'tlp', 'call', 'center', 'udah', 'isi', 'aju', 'udah', 'nunggu', 'jam', 'tugas', 'dateng', 'aplikasi', 'heeee', 'nya', 'udah', 'selesai', 'rumah', 'beelummm', 'bobrokkk', 'ngggk', 'jeelaasss']"
4439,kode reffal ap,Umum,Keluhan Probis,"['kode', 'reffal', 'ap']","['kode', 'reffal', 'ap']"
4440,kenapa bayar lewat aplikasi linkaja di hilang sih,Feature Design,Fitur Payment,"['bayar', 'aplikasi', 'linkaja', 'hilang']","['bayar', 'aplikasi', 'linkaja', 'hilang']"
4441,tingkat cepat layan,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['tingkat', 'cepat', 'layan']","['tingkat', 'cepat', 'layan']"
4442,saya sangat kecewa dengan salah teknisi nya jelas saya buat lapor arti ada masalah di kwh nya tetapi teknisi sebut hanya konfirmasi bahwa tidak apa lalu tlp dia malas datang rumah bukti selesai pun foto ditmpat lainsampai saya panggil teknisi dijakarta utara beliau datang lalu yg dijakarta pusat yg dekat rumah saya malah tidak datang kalau memang tidak niat kerja jangan kerja,Service O2O,Laporan pengaduan tidak di respon,"['kecewa', 'salah', 'teknisi', 'nya', 'lapor', 'arti', 'kwh', 'nya', 'teknisi', 'konfirmasi', 'tlp', 'malas', 'rumah', 'bukti', 'selesai', 'foto', 'ditmpat', 'lainsampai', 'panggil', 'teknisi', 'dijakarta', 'utara', 'beliau', 'dijakarta', 'pusat', 'rumah', 'niat', 'kerja', 'kerja']","['kecewa', 'salah', 'teknisi', 'nya', 'lapor', 'arti', 'kwh', 'nya', 'teknisi', 'konfirmasi', 'tlp', 'malas', 'rumah', 'bukti', 'selesai', 'foto', 'ditmpat', 'lainsampai', 'panggil', 'teknisi', 'dijakarta', 'utara', 'beliau', 'dijakarta', 'pusat', 'rumah', 'niat', 'kerja', 'kerja']"
4443,kenapa aplikasi ini lebih sering masalah akhir ini error sistem teruusss,Feature Errors,Gangguan Server,"['aplikasi', 'error', 'sistem', 'teruusss']","['aplikasi', 'error', 'sistem', 'teruusss']"
4444,tidak bisa laku bayar lalu link aja,Feature Design,Fitur Payment,"['laku', 'bayar', 'link']","['laku', 'bayar', 'link']"
4445,aplikasi gk jls,Feature Errors,Fungsi fitur gagal,"['aplikasi', 'gk', 'jls']","['aplikasi', 'gk', 'jls']"
4446,untuk langgan listrik yang mengunakan token tidak bisa pantau lalu aplikasi berapa pengunaan yang tera di ampermeter sehingga bagi penguna sangat sulit pantau apabila sedang luar kota,Feature Design,Saran fitur baru,"['langgan', 'listrik', 'mengunakan', 'token', 'pantau', 'aplikasi', 'pengunaan', 'tera', 'ampermeter', 'penguna', 'sulit', 'pantau', 'kota']","['langgan', 'listrik', 'mengunakan', 'token', 'pantau', 'aplikasi', 'pengunaan', 'tera', 'ampermeter', 'penguna', 'sulit', 'pantau', 'kota']"
4447,internet icon parah ganggu rutin,ICONNET,Feature Error ICONNET,"['internet', 'icon', 'parah', 'ganggu', 'rutin']","['internet', 'icon', 'parah', 'ganggu', 'rutin']"
4448,janji koneksi mbps tapi udah hari ini cuma mbps dichat gak bales saat ini kami masih tunggu jawab iconyet ada lagi yang dapat kami bantu iconyet mohon maaf karena tidak ada jawab apabila masih dapat tanya atau butuh bantu lain dapat hubung kami kembali terima kasih telah hubung layan instagram iconyet selamat siang iconyet moga sehat selalu tiap hari di chat cuma kasih nomor tiket doang tanpa jelas masalah apa,ICONNET,Service O2O ICONNET,"['janji', 'koneksi', 'mbps', 'udah', 'mbps', 'dichat', 'gak', 'bales', 'tunggu', 'iconyet', 'bantu', 'iconyet', 'mohon', 'maaf', 'butuh', 'bantu', 'hubung', 'terima', 'kasih', 'hubung', 'layan', 'instagram', 'iconyet', 'selamat', 'siang', 'iconyet', 'moga', 'sehat', 'chat', 'kasih', 'nomor', 'tiket', 'doang']","['janji', 'koneksi', 'mbps', 'udah', 'mbps', 'dichat', 'gak', 'bales', 'tunggu', 'iconyet', 'bantu', 'iconyet', 'mohon', 'maaf', 'butuh', 'bantu', 'hubung', 'terima', 'kasih', 'hubung', 'layan', 'instagram', 'iconyet', 'selamat', 'siang', 'iconyet', 'moga', 'sehat', 'chat', 'kasih', 'nomor', 'tiket', 'doang']"
4449,kurang puas tidak ada respon saat adu,Service O2O,Laporan pengaduan tidak di respon,"['puas', 'respon', 'adu']","['puas', 'respon', 'adu']"
4450,aplikasi lot,Feature Errors,Gangguan Server,"['aplikasi', 'lot']","['aplikasi', 'lot']"
4451,janji koneksi mbps tapi udah hari ini cuma mbps tiap hari komplen cuma kasih nomor tiket doang tiap komplen cuma minta foto modem sama speedtest kira langgan tuh bego apa iconnyet gak guna masih amatir,ICONNET,Service O2O ICONNET,"['janji', 'koneksi', 'mbps', 'udah', 'mbps', 'komplen', 'kasih', 'nomor', 'tiket', 'doang', 'komplen', 'foto', 'modem', 'speedtest', 'langgan', 'tuh', 'bego', 'iconnyet', 'gak', 'amatir']","['janji', 'koneksi', 'mbps', 'udah', 'mbps', 'komplen', 'kasih', 'nomor', 'tiket', 'doang', 'komplen', 'foto', 'modem', 'speedtest', 'langgan', 'tuh', 'bego', 'iconnyet', 'gak', 'amatir']"
4452,tangan lambat,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['tangan', 'lambat']","['tangan', 'lambat']"
4453,aplikasi paling buruk selalu error tidak jelas kalau belum sanggup bikin aplikasi tidak usah di luncur dulu,Feature Errors,Gangguan Server,"['aplikasi', 'buruk', 'error', 'sanggup', 'aplikasi', 'luncur']","['aplikasi', 'buruk', 'error', 'sanggup', 'aplikasi', 'luncur']"
4454,untuk pasang wifi kalian hati hati belum tentu tercouver di apl kalian bisa masang wifi saya korban uang udah masuk nyata wifi tidak bisa di pasang refund hari,ICONNET,Feature Error ICONNET,"['pasang', 'wifi', 'hati', 'hati', 'tercouver', 'apl', 'masang', 'wifi', 'korban', 'uang', 'udah', 'masuk', 'nyata', 'wifi', 'pasang', 'refund']","['pasang', 'wifi', 'hati', 'hati', 'tercouver', 'apl', 'masang', 'wifi', 'korban', 'uang', 'udah', 'masuk', 'nyata', 'wifi', 'pasang', 'refund']"
4455,bantu bangt,Umum,Lain-lain,"['bantu', 'bangt']","['bantu', 'bangt']"
4456,padam selalu listrik tiap hari udah jadi biasa palayanan macam apa buat kecewa aja gak ada angin gak ada hujan listrik bisa padam,Service O2O,Respon lambat terhadap keluhan pemadaman,"['padam', 'listrik', 'udah', 'palayanan', 'kecewa', 'gak', 'angin', 'gak', 'hujan', 'listrik', 'padam']","['padam', 'listrik', 'udah', 'palayanan', 'kecewa', 'gak', 'angin', 'gak', 'hujan', 'listrik', 'padam']"
4457,pln mobile sekarang knp tidak ada lagi bayar lalu linkaja tolong dong linkaja di pulih seperti dulu biar mudah bayar listrik,Feature Design,Fitur Payment,"['pln', 'mobile', 'knp', 'bayar', 'linkaja', 'tolong', 'linkaja', 'pulih', 'mudah', 'bayar', 'listrik']","['pln', 'mobile', 'knp', 'bayar', 'linkaja', 'tolong', 'linkaja', 'pulih', 'mudah', 'bayar', 'listrik']"
4458,aplikasi lagi ngaco pertama no id langgan saya hilang restart aplikasi no id langgan muncul lagi tapi profil langgan yang hilang ga stabil nih aplikasi jd takut mau beli token sini,Feature Errors,Fungsi fitur gagal,"['aplikasi', 'ngaco', 'no', 'id', 'langgan', 'hilang', 'restart', 'aplikasi', 'no', 'id', 'langgan', 'muncul', 'profil', 'langgan', 'hilang', 'ga', 'stabil', 'nih', 'aplikasi', 'jd', 'takut', 'beli', 'token']","['aplikasi', 'ngaco', 'no', 'id', 'langgan', 'hilang', 'restart', 'aplikasi', 'no', 'id', 'langgan', 'muncul', 'profil', 'langgan', 'hilang', 'ga', 'stabil', 'nih', 'aplikasi', 'jd', 'takut', 'beli', 'token']"
4459,mohon bantu aplikasi pln mobile saya tidak ajuk mohon pasang baruselalumuncul keteranga data tidak sama antara langgan dan pemohonv mohon gagal,Feature Errors,PB/PD,"['mohon', 'bantu', 'aplikasi', 'pln', 'mobile', 'ajuk', 'mohon', 'pasang', 'baruselalumuncul', 'keteranga', 'data', 'langgan', 'pemohonv', 'mohon', 'gagal']","['mohon', 'bantu', 'aplikasi', 'pln', 'mobile', 'ajuk', 'mohon', 'pasang', 'baruselalumuncul', 'keteranga', 'data', 'langgan', 'pemohonv', 'mohon', 'gagal']"
4460,kenapa mau isi token pulsa ko gagal trus,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['isi', 'token', 'pulsa', 'ko', 'gagal', 'trus']","['isi', 'token', 'pulsa', 'ko', 'gagal', 'trus']"
4461,marketplace benerin lah pas milih kurir ga ada pilih nya blank jd ga bs lanjut,Feature Errors,Fungsi fitur gagal,"['marketplace', 'benerin', 'pas', 'milih', 'kurir', 'ga', 'pilih', 'nya', 'blank', 'jd', 'ga', 'bs']","['marketplace', 'benerin', 'pas', 'milih', 'kurir', 'ga', 'pilih', 'nya', 'blank', 'jd', 'ga', 'bs']"
4462,ribet sekali aplikasi mau tau simulasi tambah daya sudah aktivasi dan register tetap suruh upgrade akun ga jelas banget aplikasi,Registration,Masalah verifikasi,"['ribet', 'aplikasi', 'simulasi', 'daya', 'aktivasi', 'register', 'suruh', 'upgrade', 'akun', 'ga', 'banget', 'aplikasi']","['ribet', 'aplikasi', 'simulasi', 'daya', 'aktivasi', 'register', 'suruh', 'upgrade', 'akun', 'ga', 'banget', 'aplikasi']"
4463,jual marketplace jual tak siap transaksi hari selasa kirim hari jum at jual listrik sj pln sering padam malah latah jual pake marketplace jual di market place ikut latah seperti layan pln tak andal baik pln fokus dulu dengan layan listrik marketplace itu bukan usaha sambil saat kecewa sama seller yang bayang sering ganggu di pln seller di pln bisa siapa sj dengan kualitas ada tak pilah kualitas yang penting kuantitas nya saja,Feature Errors,Fungsi fitur gagal,"['jual', 'marketplace', 'jual', 'transaksi', 'selasa', 'kirim', 'jum', 'at', 'jual', 'listrik', 'sj', 'pln', 'padam', 'latah', 'jual', 'pake', 'marketplace', 'jual', 'market', 'place', 'latah', 'layan', 'pln', 'andal', 'pln', 'fokus', 'layan', 'listrik', 'marketplace', 'usaha', 'kecewa', 'seller', 'bayang', 'ganggu', 'pln', 'seller', 'pln', 'sj', 'kualitas', 'pilah', 'kualitas', 'kuantitas', 'nya']","['jual', 'marketplace', 'jual', 'transaksi', 'selasa', 'kirim', 'jum', 'at', 'jual', 'listrik', 'sj', 'pln', 'padam', 'latah', 'jual', 'pake', 'marketplace', 'jual', 'market', 'place', 'latah', 'layan', 'pln', 'andal', 'pln', 'fokus', 'layan', 'listrik', 'marketplace', 'usaha', 'kecewa', 'seller', 'bayang', 'ganggu', 'pln', 'seller', 'pln', 'sj', 'kualitas', 'pilah', 'kualitas', 'kuantitas', 'nya']"
4464,apk  gna,Feature Errors,Fungsi fitur gagal,"['apk', 'gna']","['apk', 'gna']"
4465,aplikasi tidak akurat estimasi pakai token beda lumayan jauh dengan jumlah kwh di meter listrik rmh dan notifikasi padam listrik selalu tidak sesuai ketika listrik nyala ada notifikasi jadi padam tapi ketika listrik padam malah tidak ada notifikasi sama sekali ketika lapor padam sampai dengan listrik nyala telah padam berjamjam masih belum ada respon,Feature Design,Fitur notifikasi pemadaman,"['aplikasi', 'akurat', 'estimasi', 'pakai', 'token', 'beda', 'lumayan', 'kwh', 'meter', 'listrik', 'rmh', 'notifikasi', 'padam', 'listrik', 'sesuai', 'listrik', 'nyala', 'notifikasi', 'padam', 'listrik', 'padam', 'notifikasi', 'lapor', 'padam', 'listrik', 'nyala', 'padam', 'berjamjam', 'respon']","['aplikasi', 'akurat', 'estimasi', 'pakai', 'token', 'beda', 'lumayan', 'kwh', 'meter', 'listrik', 'rmh', 'notifikasi', 'padam', 'listrik', 'sesuai', 'listrik', 'nyala', 'notifikasi', 'padam', 'listrik', 'padam', 'notifikasi', 'lapor', 'padam', 'listrik', 'nyala', 'padam', 'berjamjam', 'respon']"
4466,bikin hape crash padahal ram gb,Feature Errors,Gangguan Server,"['hape', 'crash', 'ram', 'gb']","['hape', 'crash', 'ram', 'gb']"
4467,app agak lambat respon dan perlu baik yg lebih baik lagi,Feature Errors,Gangguan Server,"['app', 'lambat', 'respon']","['app', 'lambat', 'respon']"
4468,min saya belanja di marketplace pln barang blm terima tapi ke klik konfirmasi kontak ke seller juga dicuekin no resi yg ada di aplikasi di cek tidak valid selesai bgmna yah kalau sellernya tidak kooperatif seperti ini tidak ada menu komplain atau resolusi bila ada kendala,Umum,Marketplace,"['min', 'belanja', 'marketplace', 'pln', 'barang', 'blm', 'terima', 'klik', 'konfirmasi', 'kontak', 'seller', 'dicuekin', 'no', 'resi', 'aplikasi', 'cek', 'valid', 'selesai', 'bgmna', 'yah', 'sellernya', 'kooperatif', 'menu', 'komplain', 'resolusi', 'kendala']","['min', 'belanja', 'marketplace', 'pln', 'barang', 'blm', 'terima', 'klik', 'konfirmasi', 'kontak', 'seller', 'dicuekin', 'no', 'resi', 'aplikasi', 'cek', 'valid', 'selesai', 'bgmna', 'yah', 'sellernya', 'kooperatif', 'menu', 'komplain', 'resolusi', 'kendala']"
4469,saya kasi dolo soal tiap saya bwt keluh pasang kwh meter baru selalalu riwayat status lapor di batal oleh langgan padahal kita tdk batal adu lapor lewat sama sjha di check adu adu sdah di status di batal oleh langgan memang benar tugas sangat licik mau korupsi uang rakyat yg tdk paham atas biaya pasang baru di wlayah kami sabu raijua di kena biaya pasang daya vol  nahi biaya rp untk dya rp,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['kasi', 'dolo', 'bwt', 'keluh', 'pasang', 'kwh', 'meter', 'selalalu', 'riwayat', 'status', 'lapor', 'batal', 'langgan', 'tdk', 'batal', 'adu', 'lapor', 'sjha', 'check', 'adu', 'adu', 'sdah', 'status', 'batal', 'langgan', 'tugas', 'licik', 'korupsi', 'uang', 'rakyat', 'tdk', 'paham', 'biaya', 'pasang', 'wlayah', 'sabu', 'raijua', 'kena', 'biaya', 'pasang', 'daya', 'vol', 'nahi', 'biaya', 'rp', 'untk', 'dya', 'rp']","['kasi', 'dolo', 'bwt', 'keluh', 'pasang', 'kwh', 'meter', 'selalalu', 'riwayat', 'status', 'lapor', 'batal', 'langgan', 'tdk', 'batal', 'adu', 'lapor', 'sjha', 'check', 'adu', 'adu', 'sdah', 'status', 'batal', 'langgan', 'tugas', 'licik', 'korupsi', 'uang', 'rakyat', 'tdk', 'paham', 'biaya', 'pasang', 'wlayah', 'sabu', 'raijua', 'kena', 'biaya', 'pasang', 'daya', 'vol', 'nahi', 'biaya', 'rp', 'untk', 'dya', 'rp']"
4470,pln ngurusin marketplace buat apa,Umum,Marketplace,"['pln', 'ngurusin', 'marketplace']","['pln', 'ngurusin', 'marketplace']"
4471,belum saat bikin aplikasi nih pln masa marketplace gbs klik masuk keranjang mulu selalu tombol abu pdhl stok masih ready trus barang soldout masih ditampilin di beranda buat apa stlh dpt respon trnyta sama saja clear cache ttp gk mempan stok masih ada tp tombol abu search lampu tp kripik dan lain ikut muncul barang soldout masih aja ikut muncul,Feature Errors,Fungsi fitur gagal,"['aplikasi', 'nih', 'pln', 'marketplace', 'gbs', 'klik', 'masuk', 'keranjang', 'mulu', 'tombol', 'abu', 'pdhl', 'stok', 'ready', 'trus', 'barang', 'soldout', 'ditampilin', 'beranda', 'stlh', 'dpt', 'respon', 'trnyta', 'clear', 'cache', 'ttp', 'gk', 'mempan', 'stok', 'tp', 'tombol', 'abu', 'search', 'lampu', 'tp', 'kripik', 'muncul', 'barang', 'soldout', 'muncul']","['aplikasi', 'nih', 'pln', 'marketplace', 'gbs', 'klik', 'masuk', 'keranjang', 'mulu', 'tombol', 'abu', 'pdhl', 'stok', 'ready', 'trus', 'barang', 'soldout', 'ditampilin', 'beranda', 'stlh', 'dpt', 'respon', 'trnyta', 'clear', 'cache', 'ttp', 'gk', 'mempan', 'stok', 'tp', 'tombol', 'abu', 'search', 'lampu', 'tp', 'kripik', 'muncul', 'barang', 'soldout', 'muncul']"
4472,parah neh aplikasi mau batal di marketplace nya aja repot banget,Feature Errors,Fungsi fitur gagal,"['parah', 'neh', 'aplikasi', 'batal', 'marketplace', 'nya', 'repot', 'banget']","['parah', 'neh', 'aplikasi', 'batal', 'marketplace', 'nya', 'repot', 'banget']"
4473,tolol aplikasi sampahh ga bisa ngetracking history beli token yg bener orang ngedownload buat jaga no token ilang ni malah kaga bisa ngelacak nomor token yg baru beli applikasi perintah emang sampahh sama kayak perintah,Feature Design,History pembelian token/pembayaran tagihan,"['tolol', 'aplikasi', 'sampahh', 'ga', 'ngetracking', 'history', 'beli', 'token', 'bener', 'orang', 'ngedownload', 'jaga', 'no', 'token', 'ilang', 'ni', 'kaga', 'ngelacak', 'nomor', 'token', 'beli', 'applikasi', 'perintah', 'emang', 'sampahh', 'kayak', 'perintah']","['tolol', 'aplikasi', 'sampahh', 'ga', 'ngetracking', 'history', 'beli', 'token', 'bener', 'orang', 'ngedownload', 'jaga', 'no', 'token', 'ilang', 'ni', 'kaga', 'ngelacak', 'nomor', 'token', 'beli', 'applikasi', 'perintah', 'emang', 'sampahh', 'kayak', 'perintah']"
4474,server lot banget ga bisa buka sama sekali,Feature Errors,Gangguan Server,"['server', 'lot', 'banget', 'ga', 'buka']","['server', 'lot', 'banget', 'ga', 'buka']"
4475,lalodnya luar biasa,Feature Errors,Gangguan Server,['lalodnya'],['lalodnya']
4476,sampah bat baru lapor langsung di batal kan,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['sampah', 'bat', 'lapor', 'langsung', 'batal']","['sampah', 'bat', 'lapor', 'langsung', 'batal']"
4477,kayak hampir tiap minggu trouble yang sama dengan internet iconnet modem indikator warna merah mnta tlng baik layan karena saya btuh buat kerja thanks,ICONNET,Feature Error ICONNET,"['kayak', 'minggu', 'trouble', 'internet', 'iconnet', 'modem', 'indikator', 'warna', 'merah', 'mnta', 'tlng', 'layan', 'btuh', 'kerja', 'thanks']","['kayak', 'minggu', 'trouble', 'internet', 'iconnet', 'modem', 'indikator', 'warna', 'merah', 'mnta', 'tlng', 'layan', 'btuh', 'kerja', 'thanks']"
4478,buka ini itu data masih kosong apa guna sih apps ini ribet,Feature Errors,Fungsi fitur gagal,"['buka', 'data', 'kosong', 'apps', 'ribet']","['buka', 'data', 'kosong', 'apps', 'ribet']"
4479,padahal jaring di rumah saya tercover udah daftar terus di tuju dan saya bayar malah beberapa hari kemudian bilang olt full terus refundnya nunggu bulan lagi hadeh,ICONNET,Service O2O ICONNET,"['jaring', 'rumah', 'tercover', 'udah', 'daftar', 'tuju', 'bayar', 'olt', 'full', 'refundnya', 'nunggu', 'hadeh']","['jaring', 'rumah', 'tercover', 'udah', 'daftar', 'tuju', 'bayar', 'olt', 'full', 'refundnya', 'nunggu', 'hadeh']"
4480,parah pasang baru iconnet lama hari kerjaseharusnya beri terang dari pihak pln atau teknisi iconnet ini cumasemoga aja depan lebih baik lagi,ICONNET,Registration ICONNET,"['parah', 'pasang', 'iconnet', 'kerjaseharusnya', 'terang', 'pln', 'teknisi', 'iconnet', 'cumasemoga']","['parah', 'pasang', 'iconnet', 'kerjaseharusnya', 'terang', 'pln', 'teknisi', 'iconnet', 'cumasemoga']"
4481,tangan lambat kaya keong payah,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['tangan', 'lambat', 'kaya', 'keong', 'payah']","['tangan', 'lambat', 'kaya', 'keong', 'payah']"
4482,tangan dari lokal sangat tidak membantuslow respon dan tugas lapang acuh tak acuh,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['tangan', 'lokal', 'membantuslow', 'respon', 'tugas', 'lapang', 'acuh', 'acuh']","['tangan', 'lokal', 'membantuslow', 'respon', 'tugas', 'lapang', 'acuh', 'acuh']"
4483,pada layan aju kenapa tiap kirim poto langsung keluar tiba tiba sungguh kecewa,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['layan', 'aju', 'kirim', 'poto', 'langsung', 'sungguh', 'kecewa']","['layan', 'aju', 'kirim', 'poto', 'langsung', 'sungguh', 'kecewa']"
4484,tidak layan adu saya aplikasi hanya untuk beli token saja,Service O2O,Laporan pengaduan tidak di respon,"['layan', 'adu', 'aplikasi', 'beli', 'token']","['layan', 'adu', 'aplikasi', 'beli', 'token']"
4485,pln marketplacenya eror dan tidak seperti app tokopedia dan shopee,Feature Errors,Fungsi fitur gagal,"['pln', 'marketplacenya', 'eror', 'app', 'tokopedia', 'shopee']","['pln', 'marketplacenya', 'eror', 'app', 'tokopedia', 'shopee']"
4486,aplikasi kaya berat bgt buat nampilin data mohon blank putih terus,Feature Errors,Gangguan Server,"['aplikasi', 'kaya', 'berat', 'bgt', 'nampilin', 'data', 'mohon', 'blank', 'putih']","['aplikasi', 'kaya', 'berat', 'bgt', 'nampilin', 'data', 'mohon', 'blank', 'putih']"
4487,bayar lewat virtual akun hasil tapi status gagal saldo udah potong,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['bayar', 'virtual', 'akun', 'hasil', 'status', 'gagal', 'saldo', 'udah', 'potong']","['bayar', 'virtual', 'akun', 'hasil', 'status', 'gagal', 'saldo', 'udah', 'potong']"
